case_id,seed,strategy,source_total,source_cleared,success,seconds_per_source,error,total_virtual_time_s,virtual_time_min,movement_time_s,measurement_time_s,switching_time_s,clearing_time_s,tail_after_last_clear_s,measure_count,clear_count,clear_success_count,detected,empty_certified,unknown,per_source_movement_s,per_source_action_s,per_source_tail_s
1,1405468406,EmptyChannelStrategy,10,10,True,309.4700526488194,,3094.7005264881936,51.57834210813656,2058.7005264881936,820.0,160.0,56.0,60.0,164.0,12.0,10.0,10,10,0,205.87005264881935,103.6,6.0
2,1405468407,EmptyChannelStrategy,12,12,True,256.1532591438325,,3073.8391097259896,51.23065182876649,2177.8391097259887,695.0,132.0,69.0,0.0,139.0,15.0,12.0,12,8,0,181.48659247716571,74.66666666666667,0.0
3,1405468408,EmptyChannelStrategy,16,16,True,234.76924410407238,,3756.307905665158,62.60513176108597,2904.3079056651577,640.0,120.0,92.0,0.0,128.0,20.0,16.0,16,4,0,181.51924410407236,53.25,0.0
4,1405468409,EmptyChannelStrategy,10,10,True,286.569908891891,,2865.6990889189096,47.76165148198183,2108.69908891891,585.0,110.0,62.0,242.1991612349484,117.0,14.0,10.0,10,10,0,210.86990889189101,75.7,24.21991612349484
5,1405468410,EmptyChannelStrategy,11,11,True,268.4543686306893,,2952.9980549375823,49.21663424895971,1983.998054937582,760.0,145.0,64.0,53.0,152.0,14.0,11.0,11,9,0,180.3634595397802,88.0909090909091,4.818181818181818
6,1405468411,EmptyChannelStrategy,15,15,True,212.83920684100312,,3192.588102615047,53.20980171025078,2407.588102615046,590.0,111.0,84.0,0.0,118.0,18.0,15.0,15,5,0,160.50587350766972,52.333333333333336,0.0
7,1405468412,EmptyChannelStrategy,15,15,True,222.61377073313074,,3339.206560996961,55.653442683282684,2525.2065609969604,615.0,112.0,87.0,0.0,123.0,19.0,15.0,15,5,0,168.34710406646403,54.266666666666666,0.0
8,1405468413,EmptyChannelStrategy,15,15,True,191.53233686217666,,2872.98505293265,47.883084215544166,2141.985052932651,545.0,105.0,81.0,277.23108974217666,109.0,17.0,15.0,15,5,0,142.7990035288434,48.733333333333334,18.482072649478443
9,1405468414,EmptyChannelStrategy,11,11,True,284.0999159015885,,3125.099074917473,52.08498458195788,2129.099074917473,785.0,150.0,61.0,0.0,157.0,13.0,11.0,11,9,0,193.5544613561339,90.54545454545455,0.0
10,1405468415,EmptyChannelStrategy,14,14,True,224.674648092681,,3145.445073297534,52.424084554958895,2342.445073297534,605.0,116.0,82.0,36.0,121.0,18.0,14.0,14,6,0,167.31750523553814,57.357142857142854,2.5714285714285716
11,1405468416,EmptyChannelStrategy,13,13,True,239.88341925869508,,3118.484450363036,51.974740839383934,2337.4844503630356,595.0,112.0,74.0,0.0,119.0,16.0,13.0,13,7,0,179.80649618177196,60.07692307692308,0.0
