case_id,case_name,seed,directional_probability,source_count,directional_count,omnidirectional_count,confirmed_directional_count,cleared_count,success,total_time_s,seconds_per_source,movement_time_s,measurement_time_s,switching_time_s,clearing_time_s,survey_time_s,localization_time_s,measurement_count,clear_attempt_count,failed_clear_count,survey_station_count,grid_fallback_count,probe_no_signal_count,directional_block_count,range_no_signal_count,skipped_impossible_remeasure_count,survey_remeasure_count,survey_inserted_clear_count,survey_localized_skip_count,finish_shared_remeasure_count
1,随机 10 源 seed=2095761697,2095761697,0.5,10,7,3,2,10,True,6492.531157838464,649.2531157838464,4452.167293561355,1635.0,307.0,46.0,5794.65404312418,697.8771147142843,327.0,10.0,2.0,25,2,0,12,45,15,37.0,7.0,51.0,0.0
2,随机 10 源 seed=2095761698,2095761698,0.5,10,4,6,0,10,True,6795.06855757921,679.506855757921,4862.068557579211,1590.0,293.0,50.0,5763.705142998324,1031.3634145808865,318.0,10.0,0.0,25,0,0,5,42,11,14.0,7.0,76.0,0.0
3,随机 10 源 seed=2095761699,2095761699,0.5,10,5,5,1,10,True,6870.014388832373,687.0014388832373,4836.208268435026,1635.0,302.0,57.0,5740.75142496226,1129.2629638701128,327.0,13.0,4.0,25,1,3,14,38,11,18.0,5.0,117.0,2.0
4,随机 10 源 seed=2095761700,2095761700,0.5,10,7,3,1,10,True,6983.17866399483,698.3178663994829,4783.178663994831,1810.0,337.0,53.0,5888.8733732533965,1094.305290741433,362.0,11.0,1.0,25,0,1,17,72,15,20.0,4.0,80.0,2.0
5,随机 10 源 seed=2095761701,2095761701,0.5,10,4,6,1,10,True,6310.081674570166,631.0081674570166,4396.081674570166,1570.0,291.0,53.0,5918.63179099767,391.4498835724962,314.0,11.0,1.0,25,0,0,3,37,13,25.0,8.0,71.0,0.0
6,随机 10 源 seed=2095761702,2095761702,0.5,10,4,6,0,10,True,6297.445607304346,629.7445607304346,4304.4456073043475,1635.0,305.0,53.0,5773.411079887634,524.0345274167121,327.0,11.0,1.0,25,0,0,10,45,10,18.0,9.0,73.0,0.0
7,随机 10 源 seed=2095761703,2095761703,0.5,10,8,2,3,10,True,7621.419947275851,762.1419947275851,5345.970025970683,1835.0,339.0,51.0,5799.783926029688,1821.6360212461632,367.0,11.0,2.0,25,1,5,30,66,19,20.0,3.0,60.0,5.0
8,随机 10 源 seed=2095761704,2095761704,0.5,10,4,6,2,10,True,6807.601202997223,680.7601202997223,4762.601202997222,1680.0,312.0,53.0,5724.3081007852925,1083.29310221193,336.0,11.0,1.0,25,0,0,12,49,18,21.0,4.0,103.0,0.0
9,随机 10 源 seed=2095761705,2095761705,0.5,10,6,4,1,10,True,6527.918098733238,652.7918098733238,4525.918098733238,1645.0,307.0,50.0,5819.982055459716,707.936043273522,329.0,10.0,0.0,25,0,0,6,49,20,23.0,8.0,71.0,0.0
10,随机 10 源 seed=2095761706,2095761706,0.5,10,5,5,0,10,True,6643.489886328552,664.3489886328551,4622.489886328552,1655.0,310.0,56.0,5758.104504188878,885.3853821396733,331.0,12.0,2.0,25,0,0,16,42,19,16.0,5.0,86.0,0.0
