case_id,seed,directional_probability,source_count,directional_count,cleared_count,success,total_time_s,seconds_per_source,movement_time_s,measurement_time_s,switching_time_s,clearing_time_s,survey_time_s,localization_time_s,measurement_count,clear_attempt_count,failed_clear_count,survey_station_count,grid_fallback_count,probe_no_signal_count,directional_block_count,range_no_signal_count,skipped_impossible_remeasure_count
1,2042,1.0,14,14,14,True,7825.120609968694,558.9371864263353,5749.120609968695,1540.0,286.0,250.0,5524.815889703271,2300.3047202654234,308,74,60,25,1,2,41,89,8
2,2043,1.0,12,12,12,True,7037.505695404727,586.4588079503939,5128.505695404727,1555.0,285.0,69.0,5562.320527440173,1475.1851679645542,311,15,3,25,1,1,20,66,5
3,2044,1.0,13,13,13,True,7466.937844664545,574.379834204965,5649.937844664546,1465.0,269.0,83.0,5502.9439879293905,1963.9938567351546,293,19,6,25,1,2,34,54,28
4,2045,1.0,10,10,10,True,7264.917200872074,726.4917200872075,5033.917200872076,1820.0,340.0,71.0,5781.624789857535,1483.2924110145395,364,17,7,25,1,0,33,59,11
5,2046,1.0,11,11,11,True,6517.179770836156,592.4708882578324,4646.179770836158,1530.0,283.0,58.0,5503.310134817997,1013.8696360181593,306,12,1,25,0,0,26,28,16
6,2047,1.0,12,12,12,True,6776.791652972596,564.7326377477164,4974.791652972597,1465.0,268.0,69.0,5470.826880376412,1305.964772596184,293,15,3,25,1,0,24,45,18
7,2048,1.0,16,16,16,True,8346.455707931842,521.6534817457401,6306.455707931844,1435.0,264.0,341.0,4975.520987307111,3370.934720624731,287,103,87,25,4,3,43,126,15
8,2049,1.0,10,10,10,True,7381.9636471682825,738.1963647168283,5253.963647168282,1740.0,323.0,65.0,5735.633648698253,1646.3299984700298,348,15,5,25,1,0,26,51,19
9,2050,1.0,12,12,12,True,7138.520608328004,594.8767173606669,5191.520608328004,1590.0,294.0,63.0,5667.899906262118,1470.6207020658858,318,13,1,25,1,1,25,65,17
10,2051,1.0,13,13,13,True,7525.713045249081,578.9010034806986,5477.71304524908,1660.0,308.0,80.0,5767.594759748009,1758.118285501072,332,18,5,25,1,1,32,98,36
11,2052,1.0,11,11,11,True,9581.732255465697,871.0665686786997,7028.732255465695,1830.0,341.0,382.0,5757.352966540542,3824.3792889251545,366,120,109,25,3,5,44,75,28
12,2053,1.0,10,10,10,True,6945.230455478558,694.5230455478558,5073.230455478558,1530.0,283.0,59.0,5635.769814993041,1309.4606404855167,306,13,3,25,1,0,13,22,19
13,2054,1.0,14,14,14,True,7692.161542891272,549.4401102065194,5662.161542891272,1645.0,306.0,79.0,5858.073485276314,1834.0880576149575,329,17,3,25,1,1,32,116,26
14,2055,1.0,10,10,10,True,6604.314538541721,660.4314538541721,4655.314538541721,1600.0,296.0,53.0,5606.848209613391,997.4663289283299,320,11,1,25,1,0,21,27,18
15,2056,1.0,13,13,13,True,7063.298828430524,543.3306791100403,5124.298828430524,1565.0,291.0,83.0,5610.9031863395085,1452.3956420910154,313,19,6,25,1,0,27,79,17
16,2057,1.0,14,14,14,True,7596.871038205606,542.6336455861148,5783.871038205607,1455.0,267.0,91.0,5662.9634349347425,1933.9076032708635,291,21,7,25,2,2,29,79,20
17,2058,1.0,13,13,13,True,7772.866373599652,597.912797969204,5882.866373599652,1530.0,280.0,80.0,5584.105482597007,2188.7608910026456,306,18,5,25,1,1,23,81,13
18,2059,1.0,12,12,12,True,6827.258852267337,568.9382376889447,4827.258852267339,1630.0,307.0,63.0,5631.345160480128,1195.9136917872092,326,13,1,25,1,0,23,75,13
19,2060,1.0,11,11,11,True,8043.2616389327495,731.2056035393408,5783.261638932751,1705.0,320.0,235.0,5800.971213666563,2242.2904252661865,341,71,60,25,1,2,26,65,8
20,2061,1.0,11,11,11,True,8295.577354090387,754.1433958263988,6038.577354090386,1715.0,316.0,226.0,5792.052350505945,2503.525003584442,343,68,57,25,1,3,30,66,40
21,2062,1.0,16,16,16,True,7282.750044293256,455.1718777683285,5572.750044293254,1365.0,250.0,95.0,5356.928589520612,1925.8214547726438,273,21,5,25,1,2,27,114,34
22,2063,1.0,10,10,10,True,7052.83264951911,705.2832649519111,5045.83264951911,1645.0,306.0,56.0,5765.994664299218,1286.8379852198923,329,12,2,25,0,0,19,36,19
23,2064,1.0,13,13,13,True,6654.149308084912,511.8576390834548,4891.149308084912,1420.0,263.0,80.0,5626.377938740016,1027.771369344896,284,18,5,25,1,0,28,53,19
24,2065,1.0,11,11,11,True,8188.126699532877,744.3751545029888,5809.126699532877,1840.0,343.0,196.0,5921.562657347145,2266.5640421857315,368,58,47,25,1,2,36,82,33
25,2066,1.0,16,16,16,True,6406.143212785906,400.38395079911913,4922.143212785906,1185.0,219.0,80.0,3979.9187098553166,2426.2245029305896,237,16,0,25,0,3,32,95,17
26,2067,1.0,13,13,13,True,6974.912938912809,536.5317645317546,5242.912938912809,1405.0,259.0,68.0,5529.89610042767,1445.0168384851395,281,14,1,25,0,1,24,50,50
27,2068,1.0,14,14,14,True,6873.213938440775,490.9438527457696,5150.213938440775,1390.0,257.0,76.0,5535.069670731442,1338.1442677093328,278,16,2,25,1,0,26,71,7
28,2069,1.0,12,12,12,True,6846.539004790184,570.5449170658486,4986.539004790184,1515.0,279.0,66.0,5518.725994325911,1327.8130104642723,303,14,2,25,1,0,17,61,18
29,2070,1.0,13,13,13,True,6596.430056401056,507.41769664623513,4910.430056401056,1370.0,251.0,65.0,5511.887441907925,1084.5426144931316,274,13,0,25,0,0,20,52,13
30,2071,1.0,12,12,12,True,7192.089046538697,599.3407538782247,5448.089046538697,1425.0,259.0,60.0,5555.277615935137,1636.8114306035604,285,12,0,25,0,1,14,46,3
31,2072,1.0,14,14,14,True,7448.339269141159,532.0242335100828,5578.339269141161,1505.0,277.0,88.0,5615.052665144271,1833.2866039968885,301,20,6,25,2,1,31,91,33
32,2073,1.0,12,12,12,True,6876.040444586201,573.0033703821834,4979.040444586201,1540.0,285.0,72.0,5734.721128169291,1141.3193164169106,308,16,4,25,1,0,25,57,15
33,2074,1.0,11,11,11,True,7855.871775383832,714.1701613985301,5673.871775383831,1780.0,332.0,70.0,5798.3633703544,2057.5084050294317,356,16,5,25,1,2,28,78,42
34,2075,1.0,13,13,13,True,7121.646160490606,547.8189354223543,5145.646160490606,1610.0,298.0,68.0,5663.178633099117,1458.467527391489,322,14,1,25,0,0,33,87,14
