case_id,case_name,seed,directional_probability,source_count,directional_count,omnidirectional_count,confirmed_directional_count,cleared_count,success,total_time_s,seconds_per_source,movement_time_s,measurement_time_s,switching_time_s,clearing_time_s,survey_time_s,localization_time_s,measurement_count,clear_attempt_count,failed_clear_count,survey_station_count,grid_fallback_count,probe_no_signal_count,directional_block_count,range_no_signal_count,skipped_impossible_remeasure_count,survey_remeasure_count,survey_inserted_clear_count,survey_localized_skip_count,finish_shared_remeasure_count,directional_constraint_count,directional_probe_reorder_count
1,random seed=2007525743,2007525743,0.5,15,11,4,0,15,True,6111.785229543069,407.45234863620465,4662.114957440301,1110.0,204.0,69.0,6111.785229543069,0.0,222.0,15.0,3.0,21,3,0,16,71,12,25.0,15.0,82.0,0.0,0.0,0.0
2,random seed=2007525744,2007525744,0.5,10,5,5,0,10,True,6633.452503072779,663.3452503072779,4884.452503072778,1430.0,266.0,53.0,6633.452503072779,0.0,286.0,11.0,1.0,21,0,0,6,47,3,15.0,10.0,14.0,0.0,0.0,0.0
3,random seed=2007525745,2007525745,0.5,10,4,6,2,10,True,5645.153197883827,564.5153197883826,4081.1531978838275,1275.0,236.0,53.0,5645.153197883827,0.0,255.0,11.0,1.0,21,0,0,4,19,12,21.0,10.0,24.0,0.0,2.0,0.0
4,random seed=2007525746,2007525746,0.5,11,7,4,2,11,True,6321.57688867088,574.6888080609891,4685.358649389635,1320.0,245.0,53.0,6115.631533636807,205.94535503407315,264.0,11.0,1.0,21,1,0,15,38,4,21.0,10.0,47.0,0.0,2.0,0.0
5,random seed=2007525747,2007525747,0.5,13,7,6,0,13,True,6023.184626731051,463.321894363927,4546.407761299471,1150.0,211.0,66.0,6023.184626731051,0.0,230.0,14.0,2.0,21,1,0,13,42,11,28.0,13.0,48.0,0.0,0.0,0.0
6,random seed=2007525748,2007525748,0.5,15,6,9,2,15,True,5698.26803866205,379.8845359108033,4464.2680386620505,980.0,176.0,78.0,5469.9148264221985,228.35321223985102,196.0,16.0,1.0,21,0,1,11,49,11,24.0,14.0,55.0,0.0,2.0,0.0
7,random seed=2007525749,2007525749,0.5,10,5,5,0,10,True,6356.717167406221,635.6717167406221,4684.71716740622,1365.0,254.0,53.0,6250.557774530829,106.15939287539186,273.0,11.0,1.0,21,0,0,9,33,29,25.0,9.0,23.0,0.0,0.0,0.0
8,random seed=2007525750,2007525750,0.5,13,5,8,4,13,True,6086.584130255349,468.19877925041146,4727.510349998158,1085.0,200.0,63.0,6086.584130255349,0.0,217.0,13.0,1.0,21,1,0,9,31,16,33.0,13.0,46.0,0.0,4.0,0.0
9,random seed=2007525751,2007525751,0.5,15,7,8,4,15,True,6963.382424455588,464.2254949637059,5497.189176582707,1155.0,212.0,79.0,5834.814450424092,1128.5679740314963,231.0,17.0,3.0,21,1,1,15,77,44,32.0,13.0,20.0,0.0,4.0,5.0
10,random seed=2007525752,2007525752,0.5,11,3,8,1,11,True,6306.809064213639,573.3462785648763,4704.809064213642,1300.0,244.0,58.0,5679.036584834732,627.7724793789075,260.0,12.0,1.0,21,0,0,11,37,31,23.0,10.0,18.0,0.0,1.0,1.0
11,random seed=2007525753,2007525753,0.5,11,9,2,2,11,True,5921.315537295734,538.3014124814304,4371.89815975656,1255.0,231.0,53.0,5921.315537295734,0.0,251.0,11.0,1.0,21,1,0,16,24,28,20.0,11.0,23.0,0.0,2.0,0.0
12,random seed=2007525754,2007525754,0.5,12,6,6,0,12,True,6489.294048159643,540.7745040133036,4923.652635818286,1255.0,234.0,64.0,6489.294048159643,0.0,251.0,14.0,3.0,21,1,0,14,41,15,25.0,12.0,25.0,0.0,0.0,0.0
13,random seed=2007525755,2007525755,0.5,13,8,5,2,13,True,5832.541763126616,448.65705870204744,4277.5417631266155,1250.0,231.0,74.0,5832.541763126616,0.0,250.0,16.0,3.0,21,0,0,16,56,0,25.0,13.0,44.0,0.0,2.0,0.0
14,random seed=2007525756,2007525756,0.5,15,6,9,1,15,True,6145.356254681415,409.690416978761,4800.356254681413,1065.0,196.0,84.0,5847.944538627462,297.41171605395266,213.0,18.0,3.0,21,0,0,13,59,12,33.0,13.0,54.0,0.0,3.0,0.0
15,random seed=2007525757,2007525757,0.5,11,6,5,1,11,True,6357.007192145433,577.9097447404939,4667.007192145432,1375.0,257.0,58.0,6357.007192145433,0.0,275.0,12.0,1.0,21,0,0,11,52,24,23.0,11.0,25.0,0.0,2.0,0.0
16,random seed=2007525758,2007525758,0.5,15,8,7,2,15,True,5711.678819981905,380.7785879987936,4365.197318867949,1035.0,188.0,73.0,5314.577840124822,397.1009798570831,207.0,15.0,1.0,21,1,0,17,53,16,40.0,13.0,48.0,1.0,2.0,0.0
17,random seed=2007525759,2007525759,0.5,16,5,11,1,16,True,5281.665918510992,330.104119906937,4103.665918510991,925.0,167.0,86.0,5066.812911046275,214.85300746471694,185.0,18.0,2.0,19,0,1,8,68,3,19.0,15.0,63.0,0.0,1.0,0.0
18,random seed=2007525760,2007525760,0.5,13,6,7,2,13,True,6305.858001198592,485.06600009219943,4803.858001198593,1210.0,224.0,68.0,5574.009007418029,731.8489937805634,242.0,14.0,1.0,21,0,0,11,56,30,32.0,11.0,31.0,0.0,2.0,2.0
19,random seed=2007525761,2007525761,0.5,12,5,7,1,12,True,5741.135503693327,478.4279586411106,4247.503257119954,1170.0,215.0,58.0,5741.135503693327,0.0,234.0,12.0,1.0,21,1,0,8,32,16,25.0,12.0,46.0,0.0,1.0,0.0
20,random seed=2007525762,2007525762,0.5,14,3,11,0,14,True,5467.12561154596,390.5089722532829,4174.58232720838,995.0,180.0,68.0,5467.12561154596,0.0,199.0,14.0,1.0,21,1,0,2,42,8,20.0,14.0,40.0,0.0,0.0,0.0
21,random seed=2007525763,2007525763,0.5,12,6,6,0,12,True,5551.9500565227345,462.6625047102279,4069.9500565227345,1195.0,221.0,66.0,5551.9500565227345,0.0,239.0,14.0,2.0,21,0,0,6,38,14,26.0,12.0,13.0,0.0,0.0,0.0
22,random seed=2007525764,2007525764,0.5,16,10,6,2,16,True,6494.243659328188,405.89022870801176,5217.254534069782,1000.0,181.0,84.0,5052.229133343304,1442.0145259848841,200.0,18.0,3.0,19,1,2,16,75,33,31.0,10.0,42.0,2.0,2.0,0.0
23,random seed=2007525765,2007525765,0.5,13,6,7,3,13,True,6676.897583480908,513.6075064216083,5181.89408596392,1170.0,214.0,66.0,5872.604212092773,804.2933713881348,234.0,14.0,2.0,21,1,0,8,50,27,28.0,11.0,34.0,0.0,4.0,0.0
24,random seed=2007525766,2007525766,0.5,15,8,7,2,15,True,5992.548969825,399.503264655,4738.548969825,990.0,180.0,84.0,5992.548969825,0.0,198.0,18.0,3.0,21,0,0,13,45,23,38.0,15.0,27.0,0.0,2.0,0.0
25,random seed=2007525767,2007525767,0.5,15,7,8,3,15,True,5689.199917613792,379.27999450758614,4491.199917613792,940.0,174.0,84.0,5689.199917613792,0.0,188.0,18.0,3.0,21,0,0,10,40,26,30.0,15.0,44.0,0.0,3.0,0.0
26,random seed=2007525768,2007525768,0.5,15,9,6,1,15,True,5962.779633085559,397.51864220570394,4610.1565360966115,1035.0,190.0,79.0,5727.4313042474405,235.3483288381185,207.0,17.0,3.0,21,1,0,12,57,7,29.0,13.0,61.0,0.0,1.0,0.0
27,random seed=2007525769,2007525769,0.5,15,5,10,0,15,True,6150.786412243321,410.05242748288805,4836.78641224332,1035.0,189.0,90.0,5424.489471536807,726.2969407065139,207.0,20.0,5.0,21,0,0,10,54,22,26.0,12.0,64.0,0.0,0.0,0.0
28,random seed=2007525770,2007525770,0.5,10,7,3,3,10,True,6260.64678794301,626.064678794301,4478.480489375473,1400.0,263.0,46.0,6260.64678794301,0.0,280.0,10.0,2.0,21,2,0,14,35,17,25.0,10.0,46.0,0.0,3.0,0.0
29,random seed=2007525771,2007525771,0.5,11,7,4,0,11,True,6072.503057695244,552.0457325177495,4409.763351194036,1310.0,243.0,51.0,6072.503057695244,0.0,262.0,11.0,2.0,21,2,0,12,37,4,17.0,11.0,28.0,0.0,0.0,0.0
30,random seed=2007525772,2007525772,0.5,12,4,8,2,12,True,5793.840272584063,482.8200227153386,4290.183878051818,1190.0,222.0,61.0,5793.840272584063,0.0,238.0,13.0,2.0,21,1,0,8,35,18,35.0,12.0,26.0,0.0,3.0,0.0
31,random seed=2007525773,2007525773,0.5,15,9,6,4,15,True,5662.466818718193,377.4977879145462,4482.360846125619,905.0,164.0,76.0,5323.7239013740045,338.74291734418875,181.0,16.0,2.0,21,1,0,13,30,20,45.0,14.0,29.0,0.0,5.0,0.0
32,random seed=2007525774,2007525774,0.5,11,8,3,4,11,True,6508.891311631028,591.7173919664571,4455.375577768535,1575.0,297.0,55.0,6173.974681292064,334.91663033896384,315.0,13.0,5.0,21,3,0,20,82,0,27.0,7.0,24.0,1.0,5.0,0.0
33,random seed=2007525775,2007525775,0.5,12,6,6,3,12,True,6702.636460865417,558.5530384054514,5139.636460865417,1270.0,233.0,60.0,5831.073625700342,871.5628351650748,254.0,12.0,0.0,21,0,0,10,51,12,26.0,10.0,28.0,1.0,3.0,1.0
34,random seed=2007525776,2007525776,0.5,10,5,5,1,10,True,6214.284826110419,621.4284826110419,4312.70453903081,1460.0,276.0,48.0,5914.952342748536,299.33248336188353,292.0,12.0,6.0,21,4,0,9,51,14,22.0,9.0,41.0,0.0,1.0,1.0
35,random seed=2007525777,2007525777,0.5,13,7,6,1,13,True,6660.857224951861,512.3736326886047,5170.857224951862,1205.0,220.0,65.0,6262.74160944676,398.11561550510123,241.0,13.0,0.0,21,0,0,18,48,18,25.0,12.0,45.0,0.0,1.0,0.0
36,random seed=2007525778,2007525778,0.5,16,12,4,2,16,True,6240.775381054191,390.0484613158869,4703.377326229753,1190.0,216.0,81.0,5243.209430421404,997.5659506327866,238.0,17.0,2.0,19,1,7,22,111,27,35.0,10.0,32.0,9.0,2.0,5.0
37,random seed=2007525779,2007525779,0.5,11,7,4,2,11,True,5943.207197870023,540.2915634427294,4283.856489059876,1290.0,239.0,59.0,5943.207197870023,0.0,258.0,13.0,3.0,21,1,0,12,32,16,25.0,11.0,29.0,0.0,2.0,0.0
38,random seed=2007525780,2007525780,0.5,15,4,11,2,15,True,5450.513045947917,363.3675363965278,4248.296540994516,930.0,170.0,82.0,5450.513045947917,0.0,186.0,18.0,4.0,21,1,0,11,36,20,33.0,15.0,65.0,0.0,2.0,0.0
39,random seed=2007525781,2007525781,0.5,13,5,8,2,13,True,5770.439338811056,443.879949139312,4276.91683889341,1165.0,217.0,66.0,5678.789244969677,91.6500938413783,233.0,14.0,2.0,21,1,0,7,51,25,30.0,12.0,54.0,0.0,2.0,0.0
40,random seed=2007525782,2007525782,0.5,13,6,7,2,13,True,6851.474510432915,527.0365008025319,5215.474510432914,1320.0,245.0,71.0,5614.781114335124,1236.6933960977913,264.0,15.0,2.0,21,0,0,15,74,24,25.0,10.0,48.0,0.0,2.0,0.0
41,random seed=2007525783,2007525783,0.5,16,7,9,1,16,True,5517.044071531828,344.81525447073926,4425.3584002658445,850.0,150.0,81.0,4867.624013567253,649.4200579645749,170.0,17.0,2.0,19,1,2,13,51,9,24.0,13.0,50.0,1.0,2.0,0.0
42,random seed=2007525784,2007525784,0.5,10,6,4,4,10,True,6512.318449738078,651.2318449738078,4770.318449738078,1425.0,267.0,50.0,6512.318449738078,0.0,285.0,10.0,0.0,21,0,0,13,42,16,25.0,10.0,1.0,0.0,5.0,0.0
43,random seed=2007525785,2007525785,0.5,13,5,8,1,13,True,5547.889420290008,426.76072463769293,4096.889420290009,1165.0,215.0,71.0,5547.889420290008,0.0,233.0,15.0,2.0,21,0,0,5,52,11,22.0,13.0,42.0,0.0,1.0,0.0
44,random seed=2007525786,2007525786,0.5,10,6,4,0,10,True,6129.993499469847,612.9993499469847,4409.136741301239,1365.0,256.0,48.0,5599.140066485465,530.8534329843824,273.0,10.0,1.0,21,1,0,7,34,12,17.0,9.0,21.0,0.0,0.0,0.0
45,random seed=2007525787,2007525787,0.5,13,7,6,2,13,True,5765.930948119906,443.5331498553774,4325.930948119907,1160.0,212.0,68.0,5765.930948119906,0.0,232.0,14.0,1.0,21,0,0,7,50,17,23.0,13.0,61.0,0.0,2.0,0.0
46,random seed=2007525788,2007525788,0.5,11,4,7,2,11,True,6253.016884538597,568.4560804125997,4611.016884538598,1335.0,249.0,58.0,5795.1588810674575,457.85800347113945,267.0,12.0,1.0,21,0,0,8,47,30,35.0,10.0,21.0,0.0,3.0,1.0
47,random seed=2007525789,2007525789,0.5,15,5,10,2,15,True,6078.292463827348,405.21949758848984,4749.262901013879,985.0,180.0,80.0,5259.581060383933,818.7114034434153,197.0,18.0,5.0,21,2,1,12,46,27,31.0,11.0,70.0,0.0,4.0,4.0
48,random seed=2007525790,2007525790,0.5,16,8,8,0,16,True,4930.540717593786,308.15879484961164,3925.540717593787,775.0,141.0,89.0,3004.7978542715896,1925.7428633221966,155.0,19.0,3.0,12,0,4,12,59,18,32.0,6.0,33.0,5.0,0.0,0.0
49,random seed=2007525791,2007525791,0.5,15,7,8,1,15,True,5821.534308703444,388.1022872468963,4347.067983370353,1140.0,209.0,73.0,5821.534308703444,0.0,228.0,15.0,1.0,21,1,0,14,77,19,26.0,15.0,31.0,0.0,1.0,0.0
50,random seed=2007525792,2007525792,0.5,11,2,9,0,11,True,5828.317508957016,529.8470462688197,4234.317508957016,1300.0,239.0,55.0,5828.317508957016,0.0,260.0,11.0,0.0,21,0,0,2,47,10,20.0,11.0,41.0,0.0,0.0,0.0
