clearing_s,clears,enroute_measures,failures,fallbacks,measurement_s,measures,move_m,movement_s,noise,route_end,scenario,seconds_per_source,seed,source_count,stations,success,switching_s,time_accounting_residual_s,total_time_s,variant,wall_s
93.0,21,,6,3,1110.0,222,23523.926147715352,4704.785229543069,legacy,False,random,407.45234863620465,2007525743,15,21,True,204.0,0.0,6111.785229543069,baseline,3.2863838999910513
84.0,18,0,3,1,1175.0,235,24129.891247081978,4825.978249416395,legacy,False,random,420.2652166277596,2007525743,15,21,True,219.0,0.0,6303.978249416395,joint,0.5284352999879047
96.0,22,15,7,2,1245.0,249,22940.00624298526,4588.001248597053,legacy,False,random,410.5334165731368,2007525743,15,21,True,229.0,-9.094947017729282e-13,6158.001248597052,clear_enroute,1.1793159999942873
105.0,25,9,10,2,1225.0,245,23666.1707919836,4733.234158396721,legacy,False,random,419.14894389311473,2007525743,15,21,True,224.0,0.0,6287.234158396721,clear_once,0.9898191000102088
53.0,11,,1,0,1430.0,286,24422.26251536389,4884.452503072779,legacy,False,random,663.3452503072779,2007525744,10,21,True,266.0,0.0,6633.452503072779,baseline,1.640606499990099
53.0,11,0,1,0,1475.0,295,20773.936237941543,4154.787247588309,legacy,False,random,595.7787247588309,2007525744,10,21,True,275.0,0.0,5957.787247588309,joint,0.34210840000014286
56.0,12,8,2,0,1530.0,306,20313.835358888868,4062.767071777773,legacy,False,random,593.9767071777776,2007525744,10,21,True,291.0,2.7284841053187847e-12,5939.7670717777755,clear_enroute,0.5961552000080701
56.0,12,7,2,0,1520.0,304,20302.431966688466,4060.4863933376932,legacy,False,random,592.5486393337694,2007525744,10,21,True,289.0,1.8189894035458565e-12,5925.486393337695,clear_once,0.6130228999973042
53.0,11,,1,0,1275.0,255,20405.76598941914,4081.153197883827,legacy,False,random,564.5153197883826,2007525745,10,21,True,236.0,0.0,5645.153197883827,baseline,2.7833513999939896
53.0,11,0,1,0,1285.0,257,20418.786360790313,4083.757272158062,legacy,False,random,566.1757272158062,2007525745,10,21,True,240.0,0.0,5661.757272158062,joint,0.39386609999928623
62.0,14,8,4,1,1380.0,276,20630.236915690602,4126.0473831381205,legacy,False,random,582.904738313812,2007525745,10,21,True,261.0,0.0,5829.0473831381205,clear_enroute,0.7897662000032142
56.0,12,6,2,1,1310.0,262,21305.076999208133,4261.015399841626,legacy,False,random,587.2015399841628,2007525745,10,21,True,245.0,9.094947017729282e-13,5872.015399841627,clear_once,0.6793368000071496
61.0,13,,2,1,1320.0,264,23477.884443354396,4695.57688867088,legacy,False,random,574.6888080609891,2007525746,11,21,True,245.0,0.0,6321.57688867088,baseline,2.63800700000138
61.0,13,0,2,1,1350.0,270,23477.884443354396,4695.57688867088,legacy,False,random,577.8706262428072,2007525746,11,21,True,250.0,0.0,6356.57688867088,joint,0.359021299998858
61.0,13,12,2,1,1450.0,290,22518.22456700517,4503.644913401033,legacy,False,random,570.8768103091847,2007525746,11,21,True,265.0,0.0,6279.644913401033,clear_enroute,0.7727464999916265
61.0,13,8,2,1,1430.0,286,22518.22456700517,4503.644913401033,legacy,False,random,569.058628491003,2007525746,11,21,True,265.0,0.0,6259.644913401033,clear_once,0.6884253999887733
83.0,19,,6,1,1150.0,230,22895.92313365525,4579.184626731053,legacy,False,random,463.321894363927,2007525747,13,21,True,211.0,-1.8189894035458565e-12,6023.184626731051,baseline,3.536634599993704
83.0,19,0,6,1,1210.0,242,22895.92313365525,4579.184626731053,legacy,False,random,468.9372789793116,2007525747,13,21,True,224.0,-1.8189894035458565e-12,6096.184626731051,joint,0.5036510000063572
86.0,20,11,7,2,1325.0,265,21712.079761781573,4342.415952356315,legacy,False,random,461.64738095048557,2007525747,13,21,True,248.0,-2.7284841053187847e-12,6001.415952356312,clear_enroute,1.0287534999952186
68.0,14,7,1,0,1280.0,256,21540.610026474777,4308.122005294955,legacy,False,random,453.4709234842272,2007525747,13,21,True,239.0,-9.094947017729282e-13,5895.122005294954,clear_once,0.8281110000098124
78.0,16,,1,0,975.0,195,21921.34019331025,4384.2680386620505,legacy,False,random,374.21786924413664,2007525748,15,21,True,176.0,-9.094947017729282e-13,5613.26803866205,baseline,4.934070499992231
78.0,16,0,1,0,1030.0,206,21918.164461404696,4383.63289228094,legacy,False,random,378.7088594853959,2007525748,15,21,True,189.0,-9.094947017729282e-13,5680.632892280939,joint,0.5200114000035683
78.0,16,13,1,0,1080.0,216,21859.647285164967,4371.929457032994,legacy,False,random,381.79529713553296,2007525748,15,21,True,197.0,9.094947017729282e-13,5726.929457032995,clear_enroute,1.2132978000008734
75.0,15,8,0,0,1045.0,209,21829.537976905092,4365.907595381018,legacy,False,random,378.3938396920679,2007525748,15,21,True,190.0,9.094947017729282e-13,5675.907595381019,clear_once,1.003963199997088
53.0,11,,1,0,1365.0,273,23423.5858370311,4684.717167406221,legacy,False,random,635.6717167406221,2007525749,10,21,True,254.0,0.0,6356.717167406221,baseline,2.1126574000081746
53.0,11,0,1,0,1435.0,287,22930.13652502729,4586.027305005459,legacy,False,random,634.0027305005458,2007525749,10,21,True,266.0,-1.8189894035458565e-12,6340.0273050054575,joint,0.32604329999594484
62.0,14,8,4,1,1480.0,296,21973.750119295855,4394.75002385917,legacy,False,random,621.5750023859168,2007525749,10,21,True,279.0,-1.8189894035458565e-12,6215.750023859168,clear_enroute,0.7041480999905616
62.0,14,6,4,1,1475.0,295,21966.446697143423,4393.289339428685,legacy,False,random,620.8289339428682,2007525749,10,21,True,278.0,-2.7284841053187847e-12,6208.289339428682,clear_once,0.6449460000003455
68.0,14,,1,1,1085.0,217,23667.92065127674,4733.584130255348,legacy,False,random,468.19877925041146,2007525750,13,21,True,200.0,9.094947017729282e-13,6086.584130255349,baseline,6.110407400003169
71.0,15,0,2,1,1210.0,242,21033.253492585467,4206.650698517092,legacy,False,random,439.4346691166993,2007525750,13,21,True,225.0,-9.094947017729282e-13,5712.650698517091,joint,0.5485518999921624
71.0,15,14,2,0,1280.0,256,23812.22735264196,4762.445470528391,legacy,False,random,488.26503619449164,2007525750,13,21,True,234.0,9.094947017729282e-13,6347.4454705283915,clear_enroute,1.7056302999990294
71.0,15,8,2,0,1240.0,248,23812.22735264196,4762.4454705283915,legacy,False,random,484.80349773295325,2007525750,13,21,True,229.0,9.094947017729282e-13,6302.445470528392,clear_once,1.4438930000032997
87.0,19,,4,1,1155.0,231,27546.912122277936,5509.382424455588,legacy,False,random,464.2254949637059,2007525751,15,21,True,212.0,0.0,6963.382424455588,baseline,4.938787699997192
81.0,17,0,2,0,1180.0,236,25427.52299832986,5085.504599665971,legacy,False,random,437.3669733110648,2007525751,15,21,True,214.0,9.094947017729282e-13,6560.504599665972,joint,0.9330604999995558
90.0,20,10,5,1,1170.0,234,22160.329146116954,4432.06582922339,legacy,False,random,394.0710552815592,2007525751,15,21,True,219.0,-1.8189894035458565e-12,5911.065829223388,clear_enroute,1.6805839000007836
90.0,20,7,5,1,1160.0,232,22200.95047737895,4440.190095475789,legacy,False,random,393.9460063650525,2007525751,15,21,True,219.0,-1.8189894035458565e-12,5909.1900954757875,clear_once,1.8207188999949722
