clearing_s,clears,enroute_measures,failures,fallbacks,measurement_s,measures,move_m,movement_s,noise,route_end,scenario,seconds_per_source,seed,source_count,stations,success,switching_s,time_accounting_residual_s,total_time_s,variant,wall_s
77.0,17,,4,1,1225.0,245,24445.520203715485,4889.1040407430955,seeded,False,random,493.6233877494688,2026098200,13,21,True,226.0,-9.094947017729282e-13,6417.104040743095,baseline,4.7293152999918675
74.0,16,7,3,0,1285.0,257,22541.07450073644,4508.214900147286,seeded,False,random,469.78576154979135,2026098200,13,21,True,240.0,9.094947017729282e-13,6107.214900147287,candidate,1.3090000999945914
90.0,20,,5,1,1010.0,202,24580.957178655124,4916.191435731025,seeded,False,random,413.3460957154017,2026098201,15,21,True,184.0,0.0,6200.191435731025,baseline,4.677100899993093
90.0,20,10,5,1,1105.0,221,20802.345653055232,4160.469130611045,seeded,False,random,370.7646087074029,2026098201,15,21,True,206.0,-1.8189894035458565e-12,5561.4691306110435,candidate,1.5126852999965195
90.0,20,,5,1,1100.0,220,21165.76088468226,4233.152176936452,seeded,False,random,375.34347846243,2026098202,15,21,True,207.0,-9.094947017729282e-13,5630.152176936451,baseline,4.243252300002496
87.0,19,8,4,0,1275.0,255,21789.94165362751,4357.988330725501,seeded,False,random,397.5992220483668,2026098202,15,21,True,244.0,9.094947017729282e-13,5963.988330725502,candidate,1.3587227999960305
79.0,17,,3,1,1160.0,232,26349.10078482458,5269.8201569649145,seeded,False,random,480.20143978320823,2026098203,14,21,True,214.0,9.094947017729282e-13,6722.820156964915,baseline,4.937327199993888
91.0,21,10,7,1,1460.0,292,24341.1562278902,4868.231245578038,seeded,False,random,478.3736603984312,2026098203,14,21,True,278.0,-1.8189894035458565e-12,6697.231245578037,candidate,1.1841147000086494
55.0,11,,0,0,1280.0,256,21427.821273024223,4285.564254604845,seeded,False,random,532.414932236804,2026098204,11,21,True,236.0,0.0,5856.564254604845,baseline,5.097699300007662
58.0,12,7,1,1,1290.0,258,19979.17270183139,3995.8345403662793,seeded,False,random,507.8031400332982,2026098204,11,21,True,242.0,9.094947017729282e-13,5585.83454036628,candidate,0.7511905999999726
83.0,17,,1,0,850.0,170,19902.40550549473,3980.481101098947,seeded,False,random,316.59256881868413,2026098205,16,20,True,152.0,-9.094947017729282e-13,5065.481101098946,baseline,5.138271599993459
86.0,18,9,2,0,885.0,177,20574.430896710324,4114.8861793420665,seeded,False,random,328.11788620887916,2026098205,16,16,True,164.0,0.0,5249.8861793420665,candidate,1.7624859999923501
96.0,22,,7,1,1075.0,215,26711.906836331782,5342.381367266357,seeded,False,random,447.4920911510904,2026098206,15,21,True,199.0,-1.8189894035458565e-12,6712.3813672663555,baseline,5.974640000000363
93.0,21,6,6,0,1060.0,212,21792.432501716554,4358.486500343311,seeded,False,random,380.43243335622077,2026098206,15,21,True,195.0,9.094947017729282e-13,5706.4865003433115,candidate,1.3268752000003587
68.0,14,,1,0,1235.0,247,23590.700719434837,4718.140143886968,seeded,False,random,480.7030879913052,2026098207,13,21,True,228.0,0.0,6249.140143886968,baseline,3.6046101999963867
86.0,20,10,7,1,1290.0,258,20799.585654932533,4159.917130986508,seeded,False,random,444.60901007588507,2026098207,13,21,True,244.0,-1.8189894035458565e-12,5779.917130986506,candidate,1.145068199999514
96.0,22,,7,1,1065.0,213,21466.624243723498,4293.3248487447,seeded,False,random,376.6883232496467,2026098208,15,21,True,196.0,9.094947017729282e-13,5650.324848744701,baseline,4.194553699999233
