case_id,case_name,seed,directional_probability,source_count,directional_count,omnidirectional_count,confirmed_directional_count,cleared_count,success,total_time_s,68602.06921,movement_time_s,measurement_time_s,switching_time_s,clearing_time_s,survey_time_s,localization_time_s,measurement_count,clear_attempt_count,failed_clear_count,survey_station_count,grid_fallback_count,probe_no_signal_count,directional_block_count,range_no_signal_count,skipped_impossible_remeasure_count,survey_remeasure_count,survey_inserted_clear_count,survey_localized_skip_count,finish_shared_remeasure_count,directional_constraint_count,directional_probe_reorder_count,weak_unknown_marked_count,weak_unknown_survey_skip_count,weak_unknown_final_probe_count,weak_unknown_recovered_count,category,wall_time_s
1,随机 seed=42,42,1,10,10,0,1,10,TRUE,5929.528785,592.9528785,4136.528785,1470,273,50,5929.528785,0,294,10,0,21,0,0,11,53,7,19,10,24,0,1,0,0,0,0,0,all_directional,2.0886722
2,随机 seed=43,43,1,13,13,0,6,13,TRUE,6336.165415,487.3973396,4795.165415,1240,230,71,5918.010495,418.1549207,248,15,2,21,0,0,16,57,18,37,10,24,0,7,0,0,0,0,0,all_directional,2.3067875
3,随机 seed=44,44,1,14,14,0,1,14,TRUE,6185.508307,441.8220219,4691.508307,1200,221,73,6072.652041,112.856266,240,15,1,21,0,0,18,67,18,25,13,48,0,1,0,0,0,0,0,all_directional,2.1378335
4,随机 seed=45,45,1,16,16,0,6,16,TRUE,6298.290943,393.6431839,4943.290943,1070,196,89,6008.953153,289.3377891,214,19,3,20,0,2,33,66,17,37,14,15,1,6,0,0,0,0,0,all_directional,2.4141165
5,随机 seed=46,46,1,13,13,0,3,13,TRUE,6448.461307,496.0354851,4839.388873,1240,233,64,6296.159957,152.3013497,248,14,3,21,2,0,22,52,11,26,11,55,0,3,0,0,0,0,0,all_directional,2.6989045
6,随机 seed=47,47,1,10,10,0,4,10,TRUE,6304.917525,630.4917525,4419.093463,1460,274,49,6304.917525,0,292,11,3,21,2,0,16,43,0,26,10,42,0,4,0,0,0,0,0,all_directional,1.7875389
7,随机 seed=48,48,1,10,10,0,2,10,TRUE,6791.659476,679.1659476,4907.25701,1535,287,48,6623.399055,168.2604212,307,10,1,21,1,0,25,51,14,19,9,4,0,2,0,0,0,0,0,all_directional,1.3142783
8,随机 seed=49,49,1,10,10,0,2,10,TRUE,6770.417095,677.0417095,4857.770386,1550,291,51,6354.588106,415.828989,310,11,2,21,1,0,18,59,11,19,8,22,0,3,0,0,0,0,0,all_directional,1.5167083
9,随机 seed=50,50,1,15,15,0,1,15,TRUE,6801.066456,453.4044304,5216.9672,1255,231,73,6538.92678,262.1396767,251,15,1,21,1,0,31,85,18,26,14,30,0,2,0,0,0,0,0,all_directional,1.8179339
10,随机 seed=51,51,1,12,12,0,5,12,TRUE,7096.162735,591.3468946,5308.233368,1450,268,58,6842.261606,253.9011294,290,12,1,21,1,0,29,67,23,32,11,23,0,6,0,0,0,0,0,all_directional,1.7801075
11,随机 seed=52,52,1,16,16,0,4,16,TRUE,6061.99203,378.8745019,4555.827547,965,175,77,4813.358163,1248.633867,193,17,4,18,3,3,29,57,20,36,9,77,5,5,5,0,0,0,0,all_directional,3.3796913
12,随机 seed=53,53,1,15,15,0,3,15,TRUE,6027.202567,401.8135045,4647.343009,1050,192,71,6027.202567,0,210,15,2,21,2,0,18,54,33,35,15,29,0,3,0,0,0,0,0,all_directional,2.3585797
13,随机 seed=54,54,1,12,12,0,3,12,TRUE,6397.518905,533.1265754,4795.775825,1255,233,58,6397.518905,0,251,12,1,21,1,0,20,38,20,23,12,27,0,3,0,0,0,0,0,all_directional,1.8376204
14,随机 seed=55,55,1,16,16,0,5,16,TRUE,6361.77816,397.611135,4905.895309,1070,196,76,5306.620432,1055.157728,214,16,2,18,2,6,37,72,30,35,13,18,5,8,4,0,0,0,0,all_directional,2.069413
15,随机 seed=56,56,1,12,12,0,2,12,TRUE,6467.574287,538.9645239,4644.497029,1450,273,61,6252.585042,214.9892452,290,13,2,21,1,0,16,81,15,21,10,70,0,3,0,0,0,0,0,all_directional,2.0348853
16,随机 seed=57,57,1,10,10,0,0,10,TRUE,6341.359977,634.1359977,4430.359977,1565,293,53,6182.156396,159.203581,313,11,1,21,0,0,12,70,7,19,9,12,0,0,0,0,0,0,0,all_directional,1.457649
17,随机 seed=58,58,1,13,13,0,2,13,TRUE,6243.553831,480.2733716,4805.366143,1155,211,63,5930.821731,312.7321003,231,13,1,21,1,0,22,34,11,26,12,42,0,2,0,0,0,0,0,all_directional,2.3940585
18,随机 seed=59,59,1,15,15,0,1,15,TRUE,6616.987266,441.1324844,5183.221879,1065,195,77,6123.571554,493.4157114,213,17,4,21,2,2,28,48,20,28,14,22,0,1,0,0,0,0,0,all_directional,2.0974305
19,随机 seed=60,60,1,11,11,0,3,11,TRUE,6437.523864,585.2294422,4815.523864,1320,244,58,6437.523864,0,264,12,1,21,0,0,17,35,23,28,11,24,0,3,0,0,0,0,0,all_directional,2.0173782
20,随机 seed=61,61,1,12,12,0,1,12,TRUE,6788.861878,565.7384898,5022.414205,1385,258,61,6223.065007,565.7968705,277,13,2,21,1,1,19,64,23,22,11,16,0,1,0,0,0,0,0,all_directional,1.6968273
21,随机 seed=62,62,1,13,13,0,5,13,TRUE,7155.797758,550.4459814,5253.152143,1440,271,62,7155.797758,0,288,14,4,21,3,0,28,85,7,38,13,21,0,6,0,0,0,0,0,all_directional,1.6894552
22,随机 seed=63,63,1,13,13,0,5,13,TRUE,6457.941044,496.7646957,4911.941044,1245,230,71,6302.31331,155.6277336,249,15,2,21,0,0,21,52,19,33,12,26,0,5,0,0,0,0,0,all_directional,1.7523747
23,随机 seed=64,64,1,13,13,0,2,13,TRUE,6467.784447,497.5218806,4873.784447,1290,239,65,6138.282918,329.5015297,258,13,0,21,0,0,22,62,15,26,11,44,1,2,0,0,0,0,0,all_directional,2.4962882
24,随机 seed=65,65,1,11,11,0,2,11,TRUE,7468.709202,678.9735638,5651.709202,1480,276,61,6318.049877,1150.659325,296,13,2,21,0,2,23,58,37,18,8,36,1,2,0,0,0,0,0,all_directional,1.9922874
25,随机 seed=66,66,1,16,16,0,1,16,TRUE,4790.404109,299.4002568,3730.456835,805,148,78,2893.379954,1897.024156,161,16,1,12,1,4,25,55,3,22,4,56,4,3,0,0,0,0,0,all_directional,4.3322424
26,随机 seed=67,67,1,15,15,0,3,15,TRUE,6862.982244,457.5321496,5451.925198,1125,205,73,5910.886922,952.0953223,225,15,1,21,1,0,31,58,45,43,11,10,0,3,0,0,0,0,0,all_directional,2.2080463
27,随机 seed=68,68,1,13,13,0,1,13,TRUE,6524.994202,501.9226309,5026.462405,1170,215,63,6524.994202,0,234,13,1,21,1,0,16,43,27,31,13,5,0,1,0,0,0,0,0,all_directional,1.9532123
28,随机 seed=69,69,1,10,10,0,3,10,TRUE,7092.900217,709.2900217,5196.900217,1550,290,56,6294.024768,798.8754497,310,12,2,21,0,0,21,57,22,23,8,12,0,3,0,0,0,0,0,all_directional,1.4004686
29,随机 seed=70,70,1,14,14,0,3,14,TRUE,6462.058354,461.5755967,5052.754077,1085,202,66,6462.058354,0,217,14,2,21,2,0,23,39,31,35,14,28,0,3,0,0,0,0,0,all_directional,2.2218979
30,随机 seed=71,71,1,16,16,0,1,16,TRUE,5770.314944,360.644684,4535.181658,925,170,76,4802.433364,967.8815804,185,16,2,17,2,2,19,70,14,31,11,57,2,1,0,0,0,0,0,all_directional,2.807272
31,随机 seed=72,72,1,16,16,0,3,16,TRUE,7116.900229,444.8062643,5407.48353,1265,233,77,5012.911363,2103.988867,253,17,4,17,3,10,41,108,12,19,7,41,11,4,0,0,0,0,0,all_directional,2.4846351
32,随机 seed=73,73,1,15,15,0,3,15,TRUE,6077.891413,405.1927609,4775.716283,1025,185,73,5736.035494,341.855919,205,15,1,21,1,1,25,45,24,30,14,11,0,3,1,0,0,0,0,all_directional,2.2542566
33,随机 seed=74,74,1,11,11,0,1,11,TRUE,5620.304989,510.9368172,4053.304989,1270,236,61,5425.93714,194.3678489,254,13,2,21,0,0,9,31,14,18,10,16,0,1,0,0,0,0,0,all_directional,1.9953311
34,随机 seed=75,75,1,14,14,0,5,14,TRUE,7224.39085,516.0279179,5630.39085,1280,235,79,6176.397768,1047.993082,256,17,3,21,0,2,24,73,28,42,10,22,1,8,7,0,0,0,0,all_directional,2.255224
35,随机 seed=76,76,1,13,13,0,1,13,TRUE,7031.481428,540.8831867,4797.521499,1215,221,60,5659.246577,1372.234851,243,12,0,21,1,4,15,53,33,28,10,47,2,1,0,0,0,0,0,all_directional,2.490386
36,随机 seed=77,77,1,10,10,0,2,10,TRUE,6398.868451,639.8868451,4544.868451,1520,284,50,6024.290738,374.5777127,304,10,0,21,0,0,22,51,24,28,8,16,0,2,0,0,0,0,0,all_directional,1.4791665
37,随机 seed=78,78,1,15,15,0,4,15,TRUE,6934.234647,462.2823098,5428.168566,1135,211,74,5353.913367,1580.32128,227,16,3,21,2,2,22,68,37,41,10,51,1,5,11,0,0,0,0,all_directional,2.6592078
